Model,Optimization,Total model run time,Avg. 'kernel' inference time per batch,Avg. 'kernel' inference time per image,Avg. model run time per batch,Avg. model run time per image,Overhead per batch,FPS,Peak Memory,Peak Memory Accelerator,Accuracy,Weights Memory,Total kernel run time,Total Overhead
mnasnet1_0,Pruning,15052.47,2.15,2.15,18.29,18.29,18.9024055944056,54.67468562055768,0.14,3.66,77.76,3.8245849609375,13077.349999999999,13515.220000000005
mnasnet1_0,Distillation,16098.65,2.43,2.43,19.59,19.59,20.085594405594406,51.04645227156713,0.14,3.94,81.54,4.109734535217285,14006.85,14361.2
resnet18,Base,14397.67,1.26,1.26,17.41,17.41,18.8766013986014,57.43825387708213,0.14,10.97,94.69,10.106151580810547,12448.15,13496.770000000002
resnet18,Pruning,15537.09,1.15,1.15,18.65,18.65,20.580195804195807,53.61930294906167,0.14,9.62,64.62,9.336134910583496,13334.749999999998,14714.840000000002
resnet18,Distillation,14678.44,1.33,1.33,17.7,17.7,19.19928671328671,56.49717514124294,0.14,10.97,85.87,9.941035270690918,12655.5,13727.489999999998
mobilenet_v2,Base,15740.93,1.76,1.76,18.9,18.9,20.25528671328671,52.91005291005291,0.14,2.84,64.9,3.401988983154297,13513.499999999998,14482.529999999999
mobilenet_v2,Pruning,15958.75,1.71,1.71,19.3,19.3,20.60993006993007,51.81347150259067,0.14,2.58,68.95,3.3319292068481445,13799.5,14736.099999999999
mobilenet_v2,Distillation,15455.05,1.8,1.8,18.67,18.67,19.815454545454543,53.56186395286556,0.14,2.84,64.34,3.2358808517456055,13349.050000000001,14168.049999999997
efficientnet_b0,Base,32921.33,27.68,27.68,43.26,43.26,18.363818181818186,23.116042533518264,0.44,4.36,63.36,6.106398582458496,30930.899999999998,13130.130000000003
efficientnet_b0,Pruning,31460.0,24.96,24.96,41.28,41.28,19.04,24.224806201550383,0.54,3.67,59.02,5.588894844055176,29515.2,13613.599999999999
efficientnet_b0,Distillation,32620.42,27.12,27.12,42.88,42.88,18.502965034965037,23.32089552238806,0.21,4.48,63.36,5.856590270996094,30659.2,13229.62
mnasnet1_0,Base,15466.87,2.46,2.46,18.8,18.8,19.17198601398601,53.191489361702125,0.14,3.94,87.41,4.1704301834106445,13442.0,13707.969999999998
mnasnet1_0,Pruning,15075.08,2.17,2.17,18.39,18.39,18.914027972027974,54.3773790103317,0.14,3.66,77.76,3.8245849609375,13148.85,13523.53
mnasnet1_0,Distillation,15347.19,2.41,2.41,18.66,18.66,19.0546013986014,53.59056806002143,0.14,3.94,81.54,4.109734535217285,13341.9,13624.04
resnet18,Base,14035.27,1.27,1.27,16.94,16.94,18.35974825174825,59.03187721369539,0.14,10.97,94.69,10.106151580810547,12112.1,13127.22
resnet18,Pruning,14320.74,1.11,1.11,17.36,17.36,18.91900699300699,57.60368663594471,0.14,9.62,64.62,9.336134910583496,12412.4,13527.089999999998
resnet18,Distillation,16522.03,1.25,1.25,20.12,20.12,21.857734265734265,49.70178926441351,0.14,10.97,85.87,9.941035270690918,14385.800000000001,15628.28
mobilenet_v2,Base,14736.44,1.79,1.79,17.81,17.81,18.8204055944056,56.14823133071309,0.14,2.84,64.9,3.401988983154297,12734.15,13456.590000000004
mobilenet_v2,Pruning,15110.52,1.74,1.74,18.32,18.32,19.393594405594406,54.585152838427945,0.14,2.58,68.95,3.3319292068481445,13098.800000000001,13866.42
mobilenet_v2,Distillation,15535.63,1.76,1.76,18.82,18.82,19.968153846153843,53.13496280552604,0.14,2.84,64.34,3.2358808517456055,13456.300000000001,14277.229999999998
efficientnet_b0,Base,33118.07,27.68,27.68,43.15,43.15,18.638979020979026,23.17497103128621,0.44,4.36,63.36,6.106398582458496,30852.25,13326.870000000003
efficientnet_b0,Pruning,32039.4,24.97,24.97,41.92,41.92,19.84034965034965,23.85496183206107,0.54,3.67,59.02,5.588894844055176,29972.800000000003,14185.85
efficientnet_b0,Distillation,32828.23,27.12,27.12,42.93,42.93,18.7936083916084,23.29373398555789,0.21,4.48,63.36,5.856590270996094,30694.95,13437.430000000008
mnasnet1_0,Base,16169.11,2.44,2.44,19.56,19.56,20.17413986013986,51.12474437627812,0.14,3.94,87.41,4.1704301834106445,13985.4,14424.51
mnasnet1_0,Pruning,15132.86,2.18,2.18,18.31,18.31,18.98483916083916,54.61496450027308,0.14,3.66,77.76,3.8245849609375,13091.65,13574.16
mnasnet1_0,Distillation,16148.27,2.41,2.41,19.56,19.56,20.17499300699301,51.12474437627812,0.14,3.94,81.54,4.109734535217285,13985.4,14425.120000000003
resnet18,Base,14235.28,1.24,1.24,17.06,17.06,18.66948251748252,58.6166471277843,0.14,10.97,94.69,10.106151580810547,12197.9,13348.680000000002
resnet18,Pruning,15449.73,1.18,1.18,18.62,18.62,20.428013986013987,53.70569280343716,0.14,9.62,64.62,9.336134910583496,13313.300000000001,14606.03
resnet18,Distillation,15026.38,1.24,1.24,18.11,18.11,19.775916083916083,55.21811154058531,0.14,10.97,85.87,9.941035270690918,12948.65,14139.779999999999
mobilenet_v2,Base,14716.85,1.81,1.81,17.78,17.78,18.773006993006994,56.2429696287964,0.14,2.84,64.9,3.401988983154297,12712.7,13422.7
mobilenet_v2,Pruning,15100.57,1.7,1.7,18.4,18.4,19.41967832167832,54.34782608695652,0.14,2.58,68.95,3.3319292068481445,13155.999999999998,13885.069999999998
mobilenet_v2,Distillation,15027.21,1.74,1.74,18.23,18.23,19.277076923076923,54.85463521667581,0.14,2.84,64.34,3.2358808517456055,13034.45,13783.109999999999
efficientnet_b0,Base,32954.79,27.68,27.68,43.39,43.39,18.410615384615383,23.0467849734962,0.44,4.36,63.36,6.106398582458496,31023.850000000002,13163.589999999998
efficientnet_b0,Pruning,31160.61,24.96,24.96,40.94,40.94,18.621272727272725,24.42598925256473,0.54,3.67,59.02,5.588894844055176,29272.1,13314.21
efficientnet_b0,Distillation,32855.0,27.12,27.12,43.21,43.21,18.831048951048952,23.142791020597084,0.21,4.48,63.36,5.856590270996094,30895.15,13464.2
mnasnet1_0,Base,16050.0,2.47,2.47,19.32,19.32,19.977552447552448,51.75983436853002,0.14,3.94,87.41,4.1704301834106445,13813.800000000001,14283.95
mnasnet1_0,Pruning,15756.2,2.14,2.14,19.13,19.13,19.89664335664336,52.27391531625719,0.14,3.66,77.76,3.8245849609375,13677.949999999999,14226.100000000002
mnasnet1_0,Distillation,15367.2,2.44,2.44,18.75,18.75,19.05258741258741,53.333333333333336,0.14,3.94,81.54,4.109734535217285,13406.25,13622.599999999999
resnet18,Base,13874.63,1.2,1.2,16.61,16.61,18.205076923076923,60.20469596628537,0.14,10.97,94.69,10.106151580810547,11876.15,13016.630000000001
resnet18,Pruning,14484.35,1.16,1.16,17.5,17.5,19.09783216783217,57.142857142857146,0.14,9.62,64.62,9.336134910583496,12512.5,13654.95
resnet18,Distillation,14398.15,1.25,1.25,17.37,17.37,18.887272727272727,57.570523891767415,0.14,10.97,85.87,9.941035270690918,12419.550000000001,13504.4
mobilenet_v2,Base,14965.35,1.73,1.73,18.11,18.11,19.20055944055944,55.21811154058531,0.14,2.84,64.9,3.401988983154297,12948.65,13728.400000000001
mobilenet_v2,Pruning,14987.1,1.67,1.67,18.03,18.03,19.290979020979023,55.46311702717692,0.14,2.58,68.95,3.3319292068481445,12891.45,13793.050000000001
mobilenet_v2,Distillation,14956.37,1.79,1.79,18.15,18.15,19.128000000000004,55.096418732782375,0.14,2.84,64.34,3.2358808517456055,12977.249999999998,13676.520000000002
efficientnet_b0,Base,32991.49,27.68,27.68,43.41,43.41,18.46194405594405,23.036166781847506,0.44,4.36,63.36,6.106398582458496,31038.149999999998,13200.289999999995
efficientnet_b0,Pruning,31704.92,24.96,24.96,41.63,41.63,19.38254545454545,24.02113860196973,0.54,3.67,59.02,5.588894844055176,29765.45,13858.519999999997
efficientnet_b0,Distillation,32764.04,27.12,27.12,43.03,43.03,18.70383216783217,23.2396002788752,0.21,4.48,63.36,5.856590270996094,30766.45,13373.240000000003
mnasnet1_0,Base,15738.53,2.43,2.43,19.09,19.09,19.58193006993007,52.38344683080147,0.14,3.94,87.41,4.1704301834106445,13649.35,14001.08
mnasnet1_0,Pruning,15160.06,2.14,2.14,18.29,18.29,19.06288111888112,54.67468562055768,0.14,3.66,77.76,3.8245849609375,13077.349999999999,13629.960000000001
mnasnet1_0,Distillation,15700.18,2.44,2.44,19.03,19.03,19.518293706293704,52.54860746190226,0.14,3.94,81.54,4.109734535217285,13606.45,13955.579999999998
resnet18,Base,15238.25,1.23,1.23,18.35,18.35,20.08223776223776,54.49591280653951,0.14,10.97,94.69,10.106151580810547,13120.250000000002,14358.8
resnet18,Pruning,14496.89,1.17,1.17,17.46,17.46,19.105370629370626,57.2737686139748,0.14,9.62,64.62,9.336134910583496,12483.900000000001,13660.339999999997
resnet18,Distillation,14579.3,1.23,1.23,17.57,17.57,19.16062937062937,56.91519635742743,0.14,10.97,85.87,9.941035270690918,12562.550000000001,13699.849999999999
mobilenet_v2,Base,14625.9,1.82,1.82,17.64,17.64,18.635804195804194,56.68934240362812,0.14,2.84,64.9,3.401988983154297,12612.6,13324.599999999999
mobilenet_v2,Pruning,14952.91,1.71,1.71,18.14,18.14,19.20316083916084,55.12679162072767,0.14,2.58,68.95,3.3319292068481445,12970.1,13730.260000000002
mobilenet_v2,Distillation,15970.27,1.77,1.77,19.29,19.29,20.56604195804196,51.840331778123385,0.14,2.84,64.34,3.2358808517456055,13792.349999999999,14704.720000000001
efficientnet_b0,Base,32714.56,27.68,27.68,42.98,42.98,18.07462937062937,23.26663564448581,0.44,4.36,63.36,6.106398582458496,30730.699999999997,12923.36
efficientnet_b0,Pruning,31446.9,24.96,24.96,41.23,41.23,19.021678321678323,24.25418384671356,0.54,3.67,59.02,5.588894844055176,29479.449999999997,13600.5
efficientnet_b0,Distillation,33000.13,27.12,27.12,43.42,43.42,19.034027972027967,23.030861354214647,0.21,4.48,63.36,5.856590270996094,31045.300000000003,13609.329999999996
mnasnet1_0,Base,15356.94,2.44,2.44,18.5,18.5,19.038237762237763,54.054054054054056,0.14,3.94,87.41,4.1704301834106445,13227.5,13612.34
mnasnet1_0,Pruning,15231.89,2.14,2.14,18.5,18.5,19.163342657342657,54.054054054054056,0.14,3.66,77.76,3.8245849609375,13227.5,13701.789999999999
mnasnet1_0,Distillation,15405.18,2.4,2.4,18.64,18.64,19.145706293706297,53.648068669527895,0.14,3.94,81.54,4.109734535217285,13327.6,13689.180000000002
resnet18,Base,14317.98,1.25,1.25,17.32,17.32,18.77514685314685,57.73672055427252,0.14,10.97,94.69,10.106151580810547,12383.800000000001,13424.229999999998
resnet18,Pruning,14431.53,1.19,1.19,17.39,17.39,18.99395804195804,57.50431282346176,0.14,9.62,64.62,9.336134910583496,12433.85,13580.68
resnet18,Distillation,15189.73,1.23,1.23,18.32,18.32,20.014377622377623,54.585152838427945,0.14,10.97,85.87,9.941035270690918,13098.800000000001,14310.28
mobilenet_v2,Base,14966.42,1.79,1.79,18.03,18.03,19.142055944055944,55.46311702717692,0.14,2.84,64.9,3.401988983154297,12891.45,13686.57
mobilenet_v2,Pruning,15342.25,1.73,1.73,18.52,18.52,19.72769230769231,53.99568034557235,0.14,2.58,68.95,3.3319292068481445,13241.8,14105.300000000001
mobilenet_v2,Distillation,15920.45,1.76,1.76,19.24,19.24,20.506363636363638,51.97505197505198,0.14,2.84,64.34,3.2358808517456055,13756.599999999999,14662.050000000001
efficientnet_b0,Base,33183.3,27.68,27.68,43.61,43.61,18.73020979020979,22.93052052281587,0.44,4.36,63.36,6.106398582458496,31181.149999999998,13392.1
efficientnet_b0,Pruning,31318.1,24.96,24.96,41.1,41.1,18.841538461538452,24.330900243309003,0.54,3.67,59.02,5.588894844055176,29386.5,13471.699999999993
efficientnet_b0,Distillation,32777.48,27.12,27.12,43.16,43.16,18.72262937062937,23.169601482854496,0.21,4.48,63.36,5.856590270996094,30859.399999999998,13386.68
mnasnet1_0,Base,15763.24,2.43,2.43,19.02,19.02,19.61648951048951,52.576235541535226,0.14,3.94,87.41,4.1704301834106445,13599.3,14025.79
mnasnet1_0,Pruning,15656.47,2.12,2.12,18.89,18.89,19.77716083916084,52.938062466913706,0.14,3.66,77.76,3.8245849609375,13506.35,14140.67
mnasnet1_0,Distillation,16328.7,2.46,2.46,19.82,19.82,20.37734265734266,50.45408678102926,0.14,3.94,81.54,4.109734535217285,14171.300000000001,14569.800000000001
resnet18,Base,15438.83,1.25,1.25,18.47,18.47,20.342769230769232,54.14185165132648,0.14,10.97,94.69,10.106151580810547,13206.05,14545.08
resnet18,Pruning,15514.13,1.12,1.12,18.67,18.67,20.57808391608392,53.56186395286556,0.14,9.62,64.62,9.336134910583496,13349.050000000001,14713.330000000002
resnet18,Distillation,15460.22,1.33,1.33,18.51,18.51,20.292685314685315,54.02485143165856,0.14,10.97,85.87,9.941035270690918,13234.650000000001,14509.27
mobilenet_v2,Base,15963.97,1.75,1.75,19.33,19.33,20.57723076923077,51.733057423693744,0.14,2.84,64.9,3.401988983154297,13820.949999999999,14712.720000000001
mobilenet_v2,Pruning,15559.43,1.69,1.69,18.72,18.72,20.07144055944056,53.41880341880342,0.14,2.58,68.95,3.3319292068481445,13384.8,14351.08
mobilenet_v2,Distillation,16504.26,1.76,1.76,19.68,19.68,21.322881118881117,50.8130081300813,0.14,2.84,64.34,3.2358808517456055,14071.199999999999,15245.859999999999
efficientnet_b0,Base,32848.36,27.68,27.68,43.08,43.08,18.26176223776224,23.212627669452186,0.44,4.36,63.36,6.106398582458496,30802.199999999997,13057.160000000002
efficientnet_b0,Pruning,31461.93,24.96,24.96,41.34,41.34,19.042699300699297,24.189646831156264,0.54,3.67,59.02,5.588894844055176,29558.100000000002,13615.529999999997
efficientnet_b0,Distillation,32528.85,27.12,27.12,42.74,42.74,18.3748951048951,23.39728591483388,0.21,4.48,63.36,5.856590270996094,30559.100000000002,13138.049999999996
mnasnet1_0,Base,15769.13,2.41,2.41,19.06,19.06,19.64472727272727,52.46589716684156,0.14,3.94,87.41,4.1704301834106445,13627.9,14045.979999999998
mnasnet1_0,Pruning,16124.46,2.15,2.15,19.52,19.52,20.401692307692308,51.22950819672131,0.14,3.66,77.76,3.8245849609375,13956.8,14587.210000000001
mnasnet1_0,Distillation,15897.02,2.49,2.49,19.28,19.28,19.743594405594408,51.86721991701245,0.14,3.94,81.54,4.109734535217285,13785.2,14116.670000000002
resnet18,Base,14037.97,1.21,1.21,16.87,16.87,18.423524475524477,59.276822762299936,0.14,10.97,94.69,10.106151580810547,12062.050000000001,13172.820000000002
resnet18,Pruning,14895.53,1.14,1.14,17.88,17.88,19.69290909090909,55.928411633109626,0.14,9.62,64.62,9.336134910583496,12784.199999999999,14080.43
resnet18,Distillation,15626.88,1.3,1.3,18.85,18.85,20.55577622377622,53.05039787798408,0.14,10.97,85.87,9.941035270690918,13477.750000000002,14697.379999999997
mobilenet_v2,Base,15375.9,1.77,1.77,18.46,18.46,19.734755244755245,54.17118093174431,0.14,2.84,64.9,3.401988983154297,13198.900000000001,14110.35
mobilenet_v2,Pruning,15555.11,1.65,1.65,18.73,18.73,20.105398601398605,53.39028296849973,0.14,2.58,68.95,3.3319292068481445,13391.95,14375.360000000002
mobilenet_v2,Distillation,15127.78,1.78,1.78,18.31,18.31,19.377734265734265,54.61496450027308,0.14,2.84,64.34,3.2358808517456055,13091.65,13855.08
efficientnet_b0,Base,32804.95,27.68,27.68,43.06,43.06,18.201048951048943,23.22340919647004,0.44,4.36,63.36,6.106398582458496,30787.9,13013.749999999995
efficientnet_b0,Pruning,31668.96,24.96,24.96,41.61,41.61,19.332251748251743,24.03268445085316,0.54,3.67,59.02,5.588894844055176,29751.149999999998,13822.559999999996
efficientnet_b0,Distillation,32640.76,27.13,27.13,42.98,42.98,18.521412587412588,23.26663564448581,0.21,4.48,63.36,5.856590270996094,30730.699999999997,13242.81
mnasnet1_0,Base,15205.73,2.47,2.47,18.36,18.36,18.796755244755246,54.46623093681917,0.14,3.94,87.41,4.1704301834106445,13127.4,13439.68
mnasnet1_0,Pruning,14940.23,2.14,2.14,18.13,18.13,18.75542657342657,55.15719801434088,0.14,3.66,77.76,3.8245849609375,12962.949999999999,13410.129999999996
mnasnet1_0,Distillation,15926.91,2.46,2.46,19.32,19.32,19.8153986013986,51.75983436853002,0.14,3.94,81.54,4.109734535217285,13813.800000000001,14168.009999999998
resnet18,Base,14590.2,1.24,1.24,17.37,17.37,19.16587412587413,57.570523891767415,0.14,10.97,94.69,10.106151580810547,12419.550000000001,13703.600000000002
resnet18,Pruning,14498.92,1.13,1.13,17.46,17.46,19.14820979020979,57.2737686139748,0.14,9.62,64.62,9.336134910583496,12483.900000000001,13690.97
resnet18,Distillation,15224.98,1.25,1.25,18.45,18.45,20.04367832167832,54.20054200542005,0.14,10.97,85.87,9.941035270690918,13191.75,14331.23
mobilenet_v2,Base,14892.99,1.78,1.78,17.95,17.95,19.04935664335664,55.71030640668524,0.14,2.84,64.9,3.401988983154297,12834.25,13620.289999999997
mobilenet_v2,Pruning,15312.41,1.67,1.67,18.47,18.47,19.74595804195804,54.14185165132648,0.14,2.58,68.95,3.3319292068481445,13206.05,14118.359999999999
mobilenet_v2,Distillation,15728.43,1.77,1.77,19.05,19.05,20.2278041958042,52.493438320209975,0.14,2.84,64.34,3.2358808517456055,13620.75,14462.880000000003
efficientnet_b0,Base,32967.92,27.68,27.68,43.4,43.4,18.42897902097902,23.041474654377883,0.44,4.36,63.36,6.106398582458496,31031.0,13176.72
efficientnet_b0,Pruning,31193.01,24.96,24.96,40.87,40.87,18.66658741258741,24.46782481037436,0.54,3.67,59.02,5.588894844055176,29222.05,13346.609999999999
efficientnet_b0,Distillation,33078.9,27.12,27.12,43.58,43.58,19.144195804195807,22.946305644791188,0.21,4.48,63.36,5.856590270996094,31159.699999999997,13688.100000000002
mnasnet1_0,Base,14941.71,2.42,2.42,18.06,18.06,18.477496503496504,55.370985603543744,0.14,3.94,87.41,4.1704301834106445,12912.9,13211.41
mnasnet1_0,Pruning,16099.0,2.16,2.16,19.26,19.26,20.356083916083914,51.92107995846313,0.14,3.66,77.76,3.8245849609375,13770.900000000001,14554.599999999999
mnasnet1_0,Distillation,15347.78,2.44,2.44,18.58,18.58,19.02542657342657,53.82131324004306,0.14,3.94,81.54,4.109734535217285,13284.699999999999,13603.179999999998
resnet18,Base,14205.66,1.29,1.29,17.04,17.04,18.578055944055944,58.68544600938967,0.14,10.97,94.69,10.106151580810547,12183.599999999999,13283.31
resnet18,Pruning,14827.99,1.15,1.15,17.73,17.73,19.588447552447555,56.40157924421884,0.14,9.62,64.62,9.336134910583496,12676.95,14005.740000000002
resnet18,Distillation,14604.99,1.2,1.2,17.63,17.63,19.22655944055944,56.72149744753262,0.14,10.97,85.87,9.941035270690918,12605.449999999999,13746.99
mobilenet_v2,Base,14504.59,1.74,1.74,17.55,17.55,18.546139860139863,56.98005698005698,0.14,2.84,64.9,3.401988983154297,12548.25,13260.490000000002
mobilenet_v2,Pruning,15077.02,1.71,1.71,18.24,18.24,19.37674125874126,54.82456140350877,0.14,2.58,68.95,3.3319292068481445,13041.599999999999,13854.37
mobilenet_v2,Distillation,14987.65,1.74,1.74,18.26,18.26,19.22174825174825,54.76451259583789,0.14,2.84,64.34,3.2358808517456055,13055.900000000001,13743.549999999997
efficientnet_b0,Base,33173.56,27.68,27.68,43.66,43.66,18.71658741258741,22.90426019239579,0.44,4.36,63.36,6.106398582458496,31216.899999999998,13382.359999999997
efficientnet_b0,Pruning,31253.78,24.96,24.96,40.89,40.89,18.751580419580414,24.45585717779408,0.54,3.67,59.02,5.588894844055176,29236.350000000002,13407.379999999996
efficientnet_b0,Distillation,33006.39,27.12,27.12,43.38,43.38,19.042783216783217,23.05209774089442,0.21,4.48,63.36,5.856590270996094,31016.7,13615.59
mnasnet1_0,Base,15972.97,2.45,2.45,19.21,19.21,19.889818181818185,52.05622071837584,0.14,3.94,87.41,4.1704301834106445,13735.150000000001,14221.220000000003
mnasnet1_0,Pruning,16250.7,2.14,2.14,19.76,19.76,20.58825174825175,50.60728744939271,0.14,3.66,77.76,3.8245849609375,14128.400000000001,14720.6
mnasnet1_0,Distillation,15557.63,2.4,2.4,18.97,18.97,19.35892307692308,52.71481286241434,0.14,3.94,81.54,4.109734535217285,13563.55,13841.630000000003
resnet18,Base,13968.83,1.24,1.24,16.75,16.75,18.296825174825177,59.70149253731344,0.14,10.97,94.69,10.106151580810547,11976.25,13082.230000000001
resnet18,Pruning,14376.8,1.13,1.13,17.23,17.23,18.977412587412587,58.038305281485776,0.14,9.62,64.62,9.336134910583496,12319.45,13568.85
resnet18,Distillation,15256.86,1.25,1.25,18.3,18.3,20.088265734265736,54.6448087431694,0.14,10.97,85.87,9.941035270690918,13084.5,14363.11
mobilenet_v2,Base,14930.25,1.76,1.76,18.09,18.09,19.12146853146853,55.2791597567717,0.14,2.84,64.9,3.401988983154297,12934.35,13671.849999999999
mobilenet_v2,Pruning,14769.8,1.69,1.69,17.8,17.8,18.96706293706293,56.17977528089887,0.14,2.58,68.95,3.3319292068481445,12727.0,13561.449999999995
mobilenet_v2,Distillation,14865.5,1.74,1.74,18.05,18.05,19.05090909090909,55.40166204986149,0.14,2.84,64.34,3.2358808517456055,12905.75,13621.4
efficientnet_b0,Base,32870.15,27.68,27.68,43.19,43.19,18.292237762237768,23.1535077564251,0.44,4.36,63.36,6.106398582458496,30880.85,13078.950000000004
efficientnet_b0,Pruning,31324.61,24.96,24.96,41.09,41.09,18.85064335664336,24.336821611097587,0.54,3.67,59.02,5.588894844055176,29379.350000000002,13478.210000000003
efficientnet_b0,Distillation,32773.4,27.12,27.12,43.0,43.0,18.71692307692308,23.25581395348837,0.21,4.48,63.36,5.856590270996094,30745.0,13382.600000000002
mnasnet1_0,Base,15828.59,2.41,2.41,19.09,19.09,19.727888111888117,52.38344683080147,0.14,3.94,87.41,4.1704301834106445,13649.35,14105.440000000004
mnasnet1_0,Pruning,16455.28,2.15,2.15,19.96,19.96,20.86437762237762,50.1002004008016,0.14,3.66,77.76,3.8245849609375,14271.400000000001,14918.029999999999
mnasnet1_0,Distillation,16084.05,2.43,2.43,19.51,19.51,20.065174825174825,51.25576627370579,0.14,3.94,81.54,4.109734535217285,13949.650000000001,14346.6
resnet18,Base,14285.7,1.23,1.23,17.16,17.16,18.75,58.27505827505828,0.14,10.97,94.69,10.106151580810547,12269.4,13406.25
resnet18,Pruning,15284.76,1.12,1.12,18.34,18.34,20.257286713286717,54.525627044711015,0.14,9.62,64.62,9.336134910583496,13113.1,14483.960000000003
resnet18,Distillation,15760.79,1.26,1.26,18.96,18.96,20.783062937062937,52.74261603375527,0.14,10.97,85.87,9.941035270690918,13556.400000000001,14859.89
mobilenet_v2,Base,14835.12,1.77,1.77,18.03,18.03,18.978419580419583,55.46311702717692,0.14,2.84,64.9,3.401988983154297,12891.45,13569.570000000002
mobilenet_v2,Pruning,15430.84,1.66,1.66,18.69,18.69,19.921594405594405,53.50454788657036,0.14,2.58,68.95,3.3319292068481445,13363.35,14243.939999999999
mobilenet_v2,Distillation,15590.6,1.79,1.79,18.68,18.68,20.015034965034967,53.53319057815846,0.14,2.84,64.34,3.2358808517456055,13356.199999999999,14310.750000000002
efficientnet_b0,Base,32847.53,27.68,27.68,43.2,43.2,18.260601398601395,23.148148148148145,0.44,4.36,63.36,6.106398582458496,30888.000000000004,13056.329999999998
efficientnet_b0,Pruning,31428.51,24.96,24.96,41.25,41.25,18.99595804195804,24.24242424242424,0.54,3.67,59.02,5.588894844055176,29493.75,13582.109999999999
efficientnet_b0,Distillation,32657.79,27.12,27.12,42.88,42.88,18.55523076923077,23.32089552238806,0.21,4.48,63.36,5.856590270996094,30659.2,13266.990000000002
mnasnet1_0,Base,14984.72,2.4,2.4,18.01,18.01,18.55765034965035,55.52470849528039,0.14,3.94,87.41,4.1704301834106445,12877.150000000001,13268.72
