Unnamed: 0,Model,Optimization,Total model run time,Avg. model run time per batch,Init Time,Peak Memory,FPS,Accuracy
46,mnasnet1_0,Pruning,5212.35,7.29,70.54,11.6719,137.174211248285,80.42
47,mnasnet1_0,Distillation,5326.75,7.45,64.57,12.6289,134.228187919463,88.39
48,resnet18,Base,11293.425000000005,15.53,91.46,26.6172,64.3915003219575,92.45
49,resnet18,Pruning,9998.38125,13.76,94.81,24.9922,72.6744186046512,77.76
50,resnet18,Distillation,11286.275,15.51,86.8,26.3359,64.4745325596389,99.44
51,mobilenet_v2,Base,5076.5,7.1,59.61,10.2227,140.845070422535,90.07
52,mobilenet_v2,Pruning,5026.45,7.03,59.44,9.94922,142.247510668563,72.31
53,mobilenet_v2,Distillation,5090.8,7.12,66.1,10.4336,140.449438202247,97.2
54,efficientnet_b0,Base,14148.062500000002,19.55,72.57,16.168,51.150895140665,38.32
55,efficientnet_b0,Pruning,12730.575,17.51,71.51,15.168,57.1102227298686,38.74
56,efficientnet_b0,Distillation,14174.874999999998,19.54,67.1,16.1484,51.1770726714432,50.07
57,mnasnet1_0,Base,5319.6,7.44,64.16,12.4844,134.408602150538,77.9
58,mnasnet1_0,Pruning,5205.2,7.28,57.91,11.7227,137.362637362637,80.42
59,mnasnet1_0,Distillation,5326.75,7.45,61.71,12.6641,134.228187919463,88.39
60,resnet18,Base,11293.425000000005,15.53,96.88,28.125,64.3915003219575,92.45
61,resnet18,Pruning,9998.38125,13.78,92.18,25.0234,72.5689404934688,77.76
62,resnet18,Distillation,11286.275,15.53,94.78,26.293,64.3915003219575,99.44
63,mobilenet_v2,Base,5083.65,7.11,61.51,10.5703,140.646976090014,90.07
64,mobilenet_v2,Pruning,5033.6,7.04,61.53,11.4219,142.045454545455,72.31
65,mobilenet_v2,Distillation,5090.8,7.12,68.3,10.3555,140.449438202247,97.2
66,efficientnet_b0,Base,14148.062500000002,19.55,71.68,17.875,51.150895140665,38.32
67,efficientnet_b0,Pruning,12730.575,17.48,79.81,15.1172,57.20823798627,38.74
68,efficientnet_b0,Distillation,14228.5,19.9,57.84,18.0078,50.251256281407,50.07
69,mnasnet1_0,Base,5119.4,7.16,51.48,12.6719,139.664804469274,77.9
70,mnasnet1_0,Pruning,5012.15,7.01,51.4,11.8984,142.65335235378,80.42
71,mnasnet1_0,Distillation,5291.0,7.4,51.58,14.1602,135.135135135135,88.39
72,resnet18,Base,11339.9,15.86,79.81,26.4961,63.0517023959647,92.45
73,resnet18,Pruning,10067.2,14.08,78.4,24.8945,71.0227272727273,77.76
74,resnet18,Distillation,11354.2,15.88,78.91,26.5859,62.9722921914358,99.44
75,mobilenet_v2,Base,4819.1,6.74,48.95,10.4648,148.367952522255,90.07
76,mobilenet_v2,Pruning,4769.05,6.67,47.47,9.96875,149.925037481259,72.31
77,mobilenet_v2,Distillation,4797.65,6.71,49.06,10.5273,149.03129657228,97.2
78,efficientnet_b0,Base,14185.6,19.84,57.14,16.2539,50.4032258064516,38.32
79,efficientnet_b0,Pruning,12819.95,17.93,58.7,15.0938,55.7724484104852,38.74
80,efficientnet_b0,Distillation,14221.35,19.89,58.28,16.3867,50.2765208647562,50.07
81,mnasnet1_0,Base,5190.9,7.26,51.2,12.4336,137.741046831956,77.9
82,mnasnet1_0,Pruning,5105.1,7.14,51.24,11.9414,140.056022408964,80.42
83,mnasnet1_0,Distillation,5140.85,7.19,53.58,12.5938,139.082058414465,88.39
84,resnet18,Base,11325.6,15.84,81.61,28.2148,63.1313131313131,92.45
85,resnet18,Pruning,10052.9,14.06,77.43,26.4922,71.1237553342817,77.76
86,resnet18,Distillation,11354.2,15.88,80.65,26.375,62.9722921914358,99.44
87,mobilenet_v2,Base,4826.25,6.75,48.3,10.4375,148.148148148148,90.07
88,mobilenet_v2,Pruning,4776.2,6.68,46.19,10.0352,149.700598802395,72.31
89,mobilenet_v2,Distillation,4819.1,6.74,47.32,10.3867,148.367952522255,97.2
90,efficientnet_b0,Base,14228.5,19.9,59.22,16.332,50.251256281407,38.32
91,efficientnet_b0,Pruning,12819.95,17.93,57.82,15.1289,55.7724484104852,38.74
92,efficientnet_b0,Distillation,14221.35,19.89,58.45,16.4141,50.2765208647562,50.07
93,mnasnet1_0,Base,5119.4,7.16,53.27,12.7109,139.664804469274,77.9
94,mnasnet1_0,Pruning,4983.55,6.97,52.47,11.8555,143.472022955524,80.42
95,mnasnet1_0,Distillation,5169.45,7.23,54.29,12.7539,138.312586445367,88.39
96,resnet18,Base,11368.5,15.9,80.56,26.5977,62.8930817610063,92.45
97,resnet18,Pruning,10067.2,14.08,79.02,25.1328,71.0227272727273,77.76
98,resnet18,Distillation,11354.2,15.88,80.49,26.2148,62.9722921914358,99.44
99,mobilenet_v2,Base,4883.45,6.83,50.63,10.2695,146.412884333821,90.07
100,mobilenet_v2,Pruning,4811.95,6.73,47.09,9.92578,148.588410104012,72.31
101,mobilenet_v2,Distillation,4890.6,6.84,47.68,10.2578,146.198830409357,97.2
102,efficientnet_b0,Base,14228.5,19.9,60.36,16.25,50.251256281407,38.32
103,efficientnet_b0,Pruning,12784.2,17.88,58.2,15.0781,55.9284116331096,38.74
104,efficientnet_b0,Distillation,14207.05,19.87,60.5,15.8867,50.3271263210871,50.07
105,mnasnet1_0,Base,5319.6,7.44,52.99,14.3086,134.408602150538,77.9
106,mnasnet1_0,Pruning,4997.85,6.99,52.13,11.8086,143.061516452074,80.42
107,mnasnet1_0,Distillation,5169.45,7.23,55.47,12.7617,138.312586445367,88.39
108,resnet18,Base,11339.9,15.86,81.39,26.3945,63.0517023959647,92.45
109,resnet18,Pruning,10045.75,14.05,78.03,25.1836,71.1743772241993,77.76
110,resnet18,Distillation,11332.75,15.85,80.02,26.2578,63.0914826498423,99.44
111,mobilenet_v2,Base,4890.6,6.84,48.97,10.2305,146.198830409357,90.07
112,mobilenet_v2,Pruning,4769.05,6.67,47.52,9.87891,149.925037481259,72.31
113,mobilenet_v2,Distillation,4811.95,6.73,49.61,10.2812,148.588410104012,97.2
114,efficientnet_b0,Base,14235.65,19.91,57.44,16.2109,50.2260170768458,38.32
115,efficientnet_b0,Pruning,12819.95,17.93,57.63,15.0352,55.7724484104852,38.74
116,efficientnet_b0,Distillation,14214.2,19.88,60.05,16.0547,50.3018108651912,50.07
117,mnasnet1_0,Base,5105.1,7.14,52.78,12.5195,140.056022408964,77.9
118,mnasnet1_0,Pruning,4997.85,6.99,50.66,11.8008,143.061516452074,80.42
119,mnasnet1_0,Distillation,5126.55,7.17,55.92,12.6445,139.470013947001,88.39
120,resnet18,Base,11339.9,15.86,81.27,26.6641,63.0517023959647,92.45
121,resnet18,Pruning,10067.2,14.08,79.26,28.918,71.0227272727273,77.76
122,resnet18,Distillation,11332.75,15.85,80.28,26.4102,63.0914826498423,99.44
123,mobilenet_v2,Base,4811.95,6.73,47.07,10.3203,148.588410104012,90.07
124,mobilenet_v2,Pruning,4761.9,6.66,46.49,10.0469,150.15015015015,72.31
125,mobilenet_v2,Distillation,4833.4,6.76,48.73,10.4375,147.92899408284,97.2
126,efficientnet_b0,Base,14228.5,19.9,61.48,16.3555,50.251256281407,38.32
127,efficientnet_b0,Pruning,12805.65,17.91,57.67,16.6953,55.8347292015634,38.74
128,efficientnet_b0,Distillation,14228.5,19.9,58.88,16.1328,50.251256281407,50.07
129,mnasnet1_0,Base,5090.8,7.12,52.87,12.6562,140.449438202247,77.9
130,mnasnet1_0,Pruning,5026.45,7.03,49.53,11.8984,142.247510668563,80.42
131,mnasnet1_0,Distillation,5112.25,7.15,50.87,12.7773,139.86013986014,88.39
132,resnet18,Base,11332.75,15.85,79.27,28.2227,63.0914826498423,92.45
133,resnet18,Pruning,10067.2,14.08,76.58,25.043,71.0227272727273,77.76
134,resnet18,Distillation,11318.45,15.83,81.31,27.7344,63.1711939355654,99.44
135,mobilenet_v2,Base,5126.55,7.17,47.15,10.4258,139.470013947001,90.07
136,mobilenet_v2,Pruning,4797.65,6.71,49.41,9.8125,149.03129657228,72.31
137,mobilenet_v2,Distillation,4833.4,6.76,47.92,10.5039,147.92899408284,97.2
138,efficientnet_b0,Base,14228.5,19.9,57.92,17.875,50.251256281407,38.32
139,efficientnet_b0,Pruning,12805.65,17.91,59.35,15.2617,55.8347292015634,38.74
140,efficientnet_b0,Distillation,14207.05,19.87,59.37,15.8516,50.3271263210871,50.07
141,mnasnet1_0,Base,5133.7,7.18,54.15,12.7734,139.275766016713,77.9
142,mnasnet1_0,Pruning,4983.55,6.97,49.73,11.793,143.472022955524,80.42
143,mnasnet1_0,Distillation,5126.55,7.17,52.46,12.8203,139.470013947001,88.39
144,resnet18,Base,11354.2,15.88,80.08,26.668,62.9722921914358,92.45
145,resnet18,Pruning,10060.05,14.07,77.39,24.9727,71.0732054015636,77.76
146,resnet18,Distillation,11347.05,15.87,79.03,26.6172,63.0119722747322,99.44
147,mobilenet_v2,Base,4833.4,6.76,49.0,10.2539,147.92899408284,90.07
148,mobilenet_v2,Pruning,4790.5,6.7,46.76,9.88672,149.253731343284,72.31
149,mobilenet_v2,Distillation,4826.25,6.75,48.49,12.1953,148.148148148148,97.2
150,efficientnet_b0,Base,14228.5,19.9,58.18,18.1719,50.251256281407,38.32
151,efficientnet_b0,Pruning,12819.95,17.93,58.14,15.125,55.7724484104852,38.74
152,efficientnet_b0,Distillation,14214.2,19.88,58.93,17.5508,50.3018108651912,50.07
153,mnasnet1_0,Base,5455.45,7.63,52.01,12.7617,131.061598951507,77.9
154,mnasnet1_0,Pruning,5019.3,7.02,51.6,13.6016,142.450142450142,80.42
155,mnasnet1_0,Distillation,5148.0,7.2,53.3,12.7969,138.888888888889,88.39
156,resnet18,Base,11354.2,15.88,79.75,28.1133,62.9722921914358,92.45
157,resnet18,Pruning,10045.75,14.05,77.47,27.0,71.1743772241993,77.76
158,resnet18,Distillation,11332.75,15.85,77.87,26.6523,63.0914826498423,99.44
159,mobilenet_v2,Base,4790.5,6.7,48.17,10.5664,149.253731343284,90.07
160,mobilenet_v2,Pruning,4754.75,6.65,47.97,9.91797,150.375939849624,72.31
161,mobilenet_v2,Distillation,4804.8,6.72,47.71,10.2734,148.809523809524,97.2
162,efficientnet_b0,Base,14221.35,19.89,58.23,17.8359,50.2765208647562,38.32
163,efficientnet_b0,Pruning,12812.8,17.92,57.69,15.2422,55.8035714285714,38.74
164,efficientnet_b0,Distillation,14221.35,19.89,57.9,16.0469,50.2765208647562,50.07
165,mnasnet1_0,Base,5126.55,7.17,52.6,12.668,139.470013947001,77.9
166,mnasnet1_0,Pruning,4990.7,6.98,49.95,11.7461,143.266475644699,80.42
167,mnasnet1_0,Distillation,5348.2,7.48,51.98,12.8086,133.689839572193,88.39
168,resnet18,Base,11347.05,15.87,80.91,28.1094,63.0119722747322,92.45
169,resnet18,Pruning,10060.05,14.07,80.45,24.918,71.0732054015636,77.76
170,resnet18,Distillation,11318.45,15.83,80.72,27.8008,63.1711939355654,99.44
171,mobilenet_v2,Base,4790.5,6.7,47.81,10.5312,149.253731343284,90.07
172,mobilenet_v2,Pruning,4783.35,6.69,46.39,9.80078,149.476831091181,72.31
173,mobilenet_v2,Distillation,4826.25,6.75,48.5,10.375,148.148148148148,97.2
174,efficientnet_b0,Base,14235.65,19.91,57.78,16.3398,50.2260170768458,38.32
175,efficientnet_b0,Pruning,12819.95,17.93,58.1,15.1602,55.7724484104852,38.74
176,efficientnet_b0,Distillation,14228.5,19.9,58.56,15.9297,50.251256281407,50.07
177,mnasnet1_0,Base,5097.95,7.13,52.44,12.6797,140.252454417952,77.9
178,mnasnet1_0,Pruning,4976.4,6.96,50.25,11.8867,143.67816091954,80.42
179,mnasnet1_0,Distillation,5090.8,7.12,53.41,12.6289,140.449438202247,88.39
180,resnet18,Base,11339.9,15.86,81.69,26.6172,63.0517023959647,92.45
181,resnet18,Pruning,10045.75,14.05,78.76,24.957,71.1743772241993,77.76
182,resnet18,Distillation,11339.9,15.86,79.35,26.6445,63.0517023959647,99.44
183,mobilenet_v2,Base,4897.75,6.85,50.28,10.4844,145.985401459854,90.07
184,mobilenet_v2,Pruning,4790.5,6.7,47.22,9.98047,149.253731343284,72.31
185,mobilenet_v2,Distillation,4847.7,6.78,48.82,10.4648,147.492625368732,97.2
186,efficientnet_b0,Base,14221.35,19.89,60.15,16.168,50.2765208647562,38.32
187,efficientnet_b0,Pruning,12798.5,17.9,57.2,15.4609,55.8659217877095,38.74
188,efficientnet_b0,Distillation,14235.65,19.91,59.93,16.0039,50.2260170768458,50.07
189,mnasnet1_0,Base,5090.8,7.12,56.88,12.4727,140.449438202247,77.9
190,mnasnet1_0,Pruning,5076.5,7.1,51.5,11.8594,140.845070422535,80.42
191,mnasnet1_0,Distillation,5240.95,7.33,54.0,12.4922,136.425648021828,88.39
192,resnet18,Base,11347.05,15.87,81.3,26.4648,63.0119722747322,92.45
193,resnet18,Pruning,10052.9,14.06,78.15,25.082,71.1237553342817,77.76
194,resnet18,Distillation,11339.9,15.86,79.96,26.1992,63.0517023959647,99.44
195,mobilenet_v2,Base,4797.65,6.71,49.52,10.5781,149.03129657228,90.07
196,mobilenet_v2,Pruning,4876.3,6.82,49.89,10.0234,146.627565982405,72.31
197,mobilenet_v2,Distillation,4804.8,6.72,49.65,10.4453,148.809523809524,97.2
198,efficientnet_b0,Base,14214.2,19.88,58.53,16.1914,50.3018108651912,38.32
199,efficientnet_b0,Pruning,12798.5,17.9,58.04,15.0273,55.8659217877095,38.74
200,efficientnet_b0,Distillation,14214.2,19.88,60.62,18.0625,50.3018108651912,50.07
201,mnasnet1_0,Base,5376.8,7.52,51.75,12.6719,132.978723404255,77.9
202,mnasnet1_0,Pruning,4976.4,6.96,50.77,11.9141,143.67816091954,80.42
203,mnasnet1_0,Distillation,5090.8,7.12,52.35,12.668,140.449438202247,88.39
204,resnet18,Base,11347.05,15.87,80.52,26.5391,63.0119722747322,92.45
205,resnet18,Pruning,10067.2,14.08,77.82,24.7734,71.0227272727273,77.76
206,resnet18,Distillation,11332.75,15.85,80.46,28.125,63.0914826498423,99.44
207,mobilenet_v2,Base,4804.8,6.72,47.57,10.5078,148.809523809524,90.07
208,mobilenet_v2,Pruning,4833.4,6.76,46.77,9.8125,147.92899408284,72.31
209,mobilenet_v2,Distillation,4904.9,6.86,48.02,10.5234,145.772594752187,97.2
210,efficientnet_b0,Base,14228.5,19.9,56.06,16.2891,50.251256281407,38.32
211,efficientnet_b0,Pruning,12798.5,17.9,57.33,16.9219,55.8659217877095,38.74
212,efficientnet_b0,Distillation,14192.75,19.85,58.31,16.2148,50.3778337531486,50.07
213,mnasnet1_0,Base,5148.0,7.2,52.46,12.457,138.888888888889,77.9
214,mnasnet1_0,Pruning,5005.0,7.0,50.69,13.668,142.857142857143,80.42
215,mnasnet1_0,Distillation,5198.05,7.27,53.03,12.7109,137.551581843191,88.39
216,resnet18,Base,11339.9,15.86,83.51,30.6875,63.0517023959647,92.45
217,resnet18,Pruning,10060.05,14.07,76.69,25.0156,71.0732054015636,77.76
218,resnet18,Distillation,11347.05,15.87,78.21,26.2695,63.0119722747322,99.44
219,mobilenet_v2,Base,4876.3,6.82,48.0,11.5156,146.627565982405,90.07
220,mobilenet_v2,Pruning,4804.8,6.72,47.29,11.2891,148.809523809524,72.31
221,mobilenet_v2,Distillation,4876.3,6.82,47.96,12.0352,146.627565982405,97.2
222,efficientnet_b0,Base,14207.05,19.87,57.54,18.1406,50.3271263210871,38.32
223,efficientnet_b0,Pruning,12812.8,17.92,56.94,15.1953,55.8035714285714,38.74
224,efficientnet_b0,Distillation,14235.65,19.91,59.8,16.0742,50.2260170768458,50.07
225,mnasnet1_0,Base,5119.4,7.16,52.77,12.7266,139.664804469274,77.9
226,mnasnet1_0,Pruning,5248.1,7.34,51.56,11.8047,136.239782016349,80.42
227,mnasnet1_0,Distillation,5090.8,7.12,53.43,12.5039,140.449438202247,88.39
228,resnet18,Base,11325.6,15.84,79.68,28.25,63.1313131313131,92.45
229,resnet18,Pruning,10067.2,14.08,78.08,25.2969,71.0227272727273,77.76
230,resnet18,Distillation,11354.2,15.88,81.4,26.6289,62.9722921914358,99.44
231,mobilenet_v2,Base,4804.8,6.72,49.83,10.3945,148.809523809524,90.07
232,mobilenet_v2,Pruning,4783.35,6.69,46.35,9.83984,149.476831091181,72.31
233,mobilenet_v2,Distillation,4826.25,6.75,47.33,11.7227,148.148148148148,97.2
234,efficientnet_b0,Base,14228.5,19.9,57.52,16.2969,50.251256281407,38.32
235,efficientnet_b0,Pruning,12812.8,17.92,58.31,15.1055,55.8035714285714,38.74
236,efficientnet_b0,Distillation,14235.65,19.91,58.78,16.1328,50.2260170768458,50.07
237,mnasnet1_0,Base,5162.3,7.22,54.15,12.4531,138.504155124654,77.9
238,mnasnet1_0,Pruning,4997.85,6.99,49.9,11.9883,143.061516452074,80.42
239,mnasnet1_0,Distillation,5162.3,7.22,52.28,12.7109,138.504155124654,88.39
240,resnet18,Base,11325.6,15.84,79.22,26.5078,63.1313131313131,92.45
241,resnet18,Pruning,10038.6,14.04,78.19,26.4961,71.2250712250712,77.76
242,resnet18,Distillation,11332.75,15.85,81.92,26.2812,63.0914826498423,99.44
243,mobilenet_v2,Base,4933.5,6.9,49.19,10.4961,144.927536231884,90.07
244,mobilenet_v2,Pruning,4769.05,6.67,47.5,11.6758,149.925037481259,72.31
245,mobilenet_v2,Distillation,4926.35,6.89,48.72,11.9922,145.137880986938,97.2
246,efficientnet_b0,Base,14207.05,19.87,58.38,16.2188,50.3271263210871,38.32
247,efficientnet_b0,Pruning,12798.5,17.9,59.68,15.1797,55.8659217877095,38.74
248,efficientnet_b0,Distillation,14221.35,19.89,58.96,17.6992,50.2765208647562,50.07
249,mnasnet1_0,Base,5162.3,7.22,53.12,12.7539,138.504155124654,77.9
250,mnasnet1_0,Pruning,5069.35,7.09,49.89,11.8438,141.043723554302,80.42
251,mnasnet1_0,Distillation,5119.4,7.16,53.66,12.7031,139.664804469274,88.39
252,resnet18,Base,11361.35,15.89,83.28,26.418,62.9326620516048,92.45
253,resnet18,Pruning,10060.05,14.07,78.25,25.082,71.0732054015636,77.76
254,resnet18,Distillation,11332.75,15.85,81.58,26.2578,63.0914826498423,99.44
255,mobilenet_v2,Base,4826.25,6.75,50.61,10.5742,148.148148148148,90.07
256,mobilenet_v2,Pruning,4840.55,6.77,49.12,9.99609,147.710487444609,72.31
257,mobilenet_v2,Distillation,4840.55,6.77,50.47,10.5,147.710487444609,97.2
258,efficientnet_b0,Base,14228.5,19.9,58.06,16.2852,50.251256281407,38.32
259,efficientnet_b0,Pruning,12819.95,17.93,58.33,16.5664,55.7724484104852,38.74
260,efficientnet_b0,Distillation,14214.2,19.88,60.56,16.0859,50.3018108651912,50.07
261,mnasnet1_0,Base,5226.65,7.31,54.22,12.7617,136.798905608755,77.9
262,mnasnet1_0,Pruning,5033.6,7.04,52.85,11.9258,142.045454545455,80.42
263,mnasnet1_0,Distillation,5205.2,7.28,54.63,12.8203,137.362637362637,88.39
264,resnet18,Base,11332.75,15.85,83.85,26.3711,63.0914826498423,92.45
265,resnet18,Pruning,10060.05,14.07,79.21,25.0664,71.0732054015636,77.76
266,resnet18,Distillation,11339.9,15.86,79.95,26.4141,63.0517023959647,99.44
267,mobilenet_v2,Base,5019.3,7.02,51.38,10.5312,142.450142450142,90.07
268,mobilenet_v2,Pruning,4769.05,6.67,49.55,9.96094,149.925037481259,72.31
269,mobilenet_v2,Distillation,4811.95,6.73,48.69,10.4141,148.588410104012,97.2
270,efficientnet_b0,Base,14228.5,19.9,58.97,16.0,50.251256281407,38.32
271,efficientnet_b0,Pruning,12812.8,17.92,57.96,15.2656,55.8035714285714,38.74
272,efficientnet_b0,Distillation,14199.9,19.86,63.21,16.4102,50.3524672708963,50.07
273,mnasnet1_0,Base,5305.3,7.42,54.85,12.6484,134.770889487871,77.9
274,mnasnet1_0,Pruning,5055.05,7.07,51.38,12.0312,141.442715700141,80.42
275,mnasnet1_0,Distillation,5126.55,7.17,54.99,14.2148,139.470013947001,88.39
276,resnet18,Base,11339.9,15.86,83.06,26.5508,63.0517023959647,92.45
277,resnet18,Pruning,10045.75,14.05,80.4,25.0273,71.1743772241993,77.76
278,resnet18,Distillation,11332.75,15.85,81.31,26.418,63.0914826498423,99.44
279,mobilenet_v2,Base,4826.25,6.75,52.35,12.0,148.148148148148,90.07
280,mobilenet_v2,Pruning,4976.4,6.96,46.41,11.543,143.67816091954,72.31
281,mobilenet_v2,Distillation,4969.25,6.95,48.4,14.2148,143.884892086331,97.2
282,efficientnet_b0,Base,14221.35,19.89,56.53,16.3711,50.2765208647562,38.32
283,efficientnet_b0,Pruning,12784.2,17.88,56.35,15.1172,55.9284116331096,38.74
284,efficientnet_b0,Distillation,14235.65,19.91,57.09,16.2852,50.2260170768458,50.07
285,mnasnet1_0,Base,5348.2,7.48,49.84,14.2969,133.689839572193,77.9
286,mnasnet1_0,Pruning,4983.55,6.97,49.92,12.0625,143.472022955524,80.42
287,mnasnet1_0,Distillation,5240.95,7.33,53.13,12.6758,136.425648021828,88.39
288,resnet18,Base,11347.05,15.87,77.6,26.5977,63.0119722747322,92.45
289,resnet18,Pruning,10038.6,14.04,76.72,25.0469,71.2250712250712,77.76
290,resnet18,Distillation,11325.6,15.84,77.73,26.2773,63.1313131313131,99.44
291,mobilenet_v2,Base,4919.2,6.88,48.56,10.2773,145.348837209302,90.07
292,mobilenet_v2,Pruning,4776.2,6.68,46.54,10.0859,149.700598802395,72.31
293,mobilenet_v2,Distillation,4833.4,6.76,47.92,10.4688,147.92899408284,97.2
294,efficientnet_b0,Base,14221.35,19.89,57.18,16.3203,50.2765208647562,38.32
295,efficientnet_b0,Pruning,12819.95,17.93,55.31,15.1211,55.7724484104852,38.74
296,efficientnet_b0,Distillation,14228.5,19.9,58.19,16.1172,50.251256281407,50.07
297,mnasnet1_0,Base,5183.75,7.25,50.86,12.5234,137.931034482759,77.9
298,mnasnet1_0,Pruning,4997.85,6.99,49.52,11.8828,143.061516452074,80.42
299,mnasnet1_0,Distillation,5176.6,7.24,51.91,14.4336,138.121546961326,88.39
300,resnet18,Base,11347.05,15.87,80.13,26.6289,63.0119722747322,92.45
301,resnet18,Pruning,10052.9,14.06,76.34,25.3281,71.1237553342817,77.76
302,resnet18,Distillation,11332.75,15.85,80.57,26.5898,63.0914826498423,99.44
303,mobilenet_v2,Base,4947.8,6.92,48.6,10.4844,144.508670520231,90.07
304,mobilenet_v2,Pruning,4997.85,6.99,45.92,9.77344,143.061516452074,72.31
305,mobilenet_v2,Distillation,4840.55,6.77,49.29,10.4961,147.710487444609,97.2
306,efficientnet_b0,Base,14221.35,19.89,57.99,16.4023,50.2765208647562,38.32
307,efficientnet_b0,Pruning,12812.8,17.92,56.79,16.7656,55.8035714285714,38.74
308,efficientnet_b0,Distillation,14221.35,19.89,59.94,16.2031,50.2765208647562,50.07
309,mnasnet1_0,Base,5140.85,7.19,52.98,12.6055,139.082058414465,77.9
310,mnasnet1_0,Pruning,4997.85,6.99,50.63,11.9805,143.061516452074,80.42
311,mnasnet1_0,Distillation,5119.4,7.16,53.09,14.2852,139.664804469274,88.39
312,resnet18,Base,11332.75,15.85,78.38,26.3945,63.0914826498423,92.45
313,resnet18,Pruning,10038.6,14.04,76.53,24.9023,71.2250712250712,77.76
314,resnet18,Distillation,11311.3,15.82,79.05,27.9102,63.2111251580278,99.44
315,mobilenet_v2,Base,4904.9,6.86,47.91,16.6445,145.772594752187,90.07
